global_step,event,episode_return,episode_length,alpha,hover_reward_value,replay_size,critic_loss,actor_loss,logp,alpha_loss
21424,episode_end,17.624971154970666,114,0.18024787560328653,200.0,,,,,
21574,episode_end,23.685316881256966,150,0.18170899442956154,200.0,,,,,
22000,train_step,,,0.18233841049528174,200.0,22000,674.4192504882812,-3.8745718002319336,2.110804557800293,0.18857714533805847
22001,episode_end,35.21666462289457,427,0.18233814712019414,200.0,,,,,
22080,episode_end,1.9391590658809719,79,0.18444956514217173,200.0,,,,,
22251,episode_end,-22.636872640183157,171,0.18360794174496312,200.0,,,,,
22361,episode_end,28.332041531875575,110,0.18428890684946098,200.0,,,,,
23000,train_step,,,0.17304757094409864,200.0,23000,36.106590270996094,-7.545008659362793,2.0493340492248535,0.08654129505157471
23361,episode_end,241.9468002058828,1000,0.16606922241793695,200.0,,,,,
24000,train_step,,,0.16202265200846158,200.0,24000,63.66990280151367,-4.9930853843688965,1.9634627103805542,-0.06649859249591827
24205,episode_end,-277.3549704544791,844,0.16623110391580379,200.0,,,,,
25000,train_step,,,0.15719870561018104,200.0,25000,375.2209167480469,-16.822935104370117,1.7494535446166992,-0.4635721445083618
25205,episode_end,151.68756279621914,1000,0.1551583067493995,200.0,,,,,
25344,episode_end,24.054024185042607,139,0.15519774046196066,200.0,,,,,
26000,train_step,,,0.16602510917549543,200.0,26000,817.234375,-13.152140617370605,2.0985565185546875,0.17696969211101532
26344,episode_end,181.4728657801955,1000,0.16648418381741695,200.0,,,,,
26941,episode_end,-65.32745391737399,597,0.17446208381797332,200.0,,,,,
27000,train_step,,,0.17415571707879643,200.0,27000,60.39320373535156,-10.139029502868652,1.955536961555481,-0.07771290838718414
27627,episode_end,-265.62393613518884,686,0.17530288766327937,200.0,,,,,
28000,train_step,,,0.17596804288962622,200.0,28000,26.382827758789062,-0.1664116382598877,1.9820563793182373,-0.031176358461380005
28471,episode_end,-243.8427131320942,844,0.17966338897482886,200.0,,,,,
29000,train_step,,,0.17967235154166267,200.0,29000,23.845319747924805,-7.333191394805908,2.0903022289276123,0.15501463413238525
29471,episode_end,108.73560848414446,1000,0.17773228865214977,200.0,,,,,
29605,episode_end,221.75040445493005,134,0.1772793916004096,200.0,,,,,
29749,episode_end,21.14926824858722,144,0.17733155023746444,200.0,,,,,
29864,episode_end,-10.664837287993649,115,0.17980438430958195,200.0,,,,,
30000,train_step,,,0.1809910607995296,200.0,30000,302.79296875,-6.187503814697266,1.9641832113265991,-0.061221882700920105
30255,episode_end,-231.17140170472427,391,0.18123461668131222,200.0,,,,,
30864,episode_end,17.696190689590807,609,0.18223081966618734,200.0,,,,,
31000,train_step,,,0.1847814224124898,200.0,31000,35.56419372558594,-5.8861494064331055,1.9413520097732544,-0.09903201460838318
31525,episode_end,-55.51204725298273,661,0.18468229426908297,200.0,,,,,
31625,episode_end,-166.73601288996787,100,0.18522944473819553,200.0,,,,,
31713,episode_end,-66.58274895017722,88,0.1867341017698023,200.0,,,,,
32000,train_step,,,0.1852350539325668,200.0,32000,66.97830200195312,-7.041354179382324,1.9000812768936157,-0.16847597062587738
32472,episode_end,-254.21728715284516,759,0.18554806064249488,200.0,,,,,
33000,train_step,,,0.18354564563494544,200.0,33000,63.88542175292969,0.5433273315429688,1.9269471168518066,-0.1238459125161171
33220,episode_end,-146.1032864848131,748,0.18299960981960794,200.0,,,,,
33403,episode_end,-118.26636051880871,183,0.1871158006373966,200.0,,,,,
33506,episode_end,189.79417306481372,103,0.1852494482573824,200.0,,,,,
